Local/Regional government,Country,Project/Initiative,Featured in,Source,Link
/,/,Green & Resilient UrbanShift Africa Forum,Stories,https://sdglocalaction.org/clean-air-african-cities/,https://www.c40.org/news/highlights-urbanshift-africa-forum/
/,/,Accelerating Action,Stories,https://sdglocalaction.org/accelerating-action-platform/,https://www.acceleratingaction.com/
/,/,Community Human Development Index,Stories,https://sdglocalaction.org/databases-localizing-hdi/,https://communityhdi.org/#4.4/39.82/-119.38
/,/,OCED Toolkit for a territorial approach to the SDGs,Stories,https://sdglocalaction.org/oecd-localizing-sdgs/,https://sdglocalaction.org/wp-content/uploads/2024/09/2913bae2-en.pdf
/,/,ISO 14093 mechanism for financing local adaptation to climate change — performance-based climate resilience grants,Stories,https://sdglocalaction.org/climate-action-iso/,https://www.iso.org/standard/68511.html
/,/,"""Managing Infrastructure Assets for Sustainable Development"" Handbook by UN DESA and UNCDF",Stories,https://sdglocalaction.org/managing-infrastructure-assets/,https://financing.desa.un.org/document/un-handbook-infrastructure-asset-management
/,/,URBACT toolbox,Stories,https://sdglocalaction.org/urbact-toolbox/,https://urbact.eu/toolbox-home/sharing-knowledge
/,/,SDG Synergies,Stories,https://sdglocalaction.org/sdg-synergies/,https://www.sdgsynergies.org/
/,/,Plastic Smart Cities,Stories,https://sdglocalaction.org/plastic-smart-cities/,http://plasticsmartcities.org/
/,/,UCL Public Sector Capabilities Index,Stories,https://sdglocalaction.org/capability-ucls-index/,https://www.ucl.ac.uk/bartlett/research-projects/2024/feb/public-sector-capabilities-index
/,/,Sentilo,Stories,https://sdglocalaction.org/sentilo-iot/,https://www.sentilo.io/
/,/,New European Bauhaus,Stories,https://sdglocalaction.org/new-european-bauhaus/,https://new-european-bauhaus.europa.eu/index_en
/,/,Our City Plan,Stories,https://sdglocalaction.org/our-city-plans/,https://ourcityplans.org/
/,/,OGP Summit 2025,Stories,https://sdglocalaction.org/ogp-summit-local-governments/,https://www.opengovpartnership.org/es/events/2025-ogp-global-summit/
/,/,Quality of Life initiative,Stories,https://sdglocalaction.org/quality-of-life-initiative-2/,https://unhabitat.org/quality-of-life-initiative
/,/,Urban Recovery Planning System,Stories,https://sdglocalaction.org/urban-recovery-planning-platform/,https://unitac.un.org/urps
/,/,Mercedes-Benz connected vehicles,SDG Local Solutions series: How connected vhicles can make street cities safer,https://sdglocalaction.org/connected-vehicles-safer-streets/,
/,/,Network of Associations of Local Authorities of South-East Europe,SDG Local Solutions series: The role of local government associations in crisis,https://sdglocalaction.org/local-government-associations-in-crisis/,https://www.nalas.eu/
